	DocumentID	Content
0	D1	a partly submerged glacier cave on perito moreno glacier the ice facade is approximately 60 m high ice formations in the titlis glacier cave a glacier cave is a cave formed within the ice of a glacier glacier caves are often called ice caves but this term is properly used to describe bedrock caves that contain yearround ice
1	D2	in physics circular motion is a movement of an object along the circumference of a circle or rotation along a circular path it can be uniform with constant angular rate of rotation and constant speed or nonuniform with a changing rate of rotation the rotation around a fixed axis of a threedimensional body involves circular motion of its parts the equations of motion describe the movement of the center of mass of a body examples of circular motion include an artificial satellite orbiting the earth at constant height a stone which is tied to a rope and is being swung in circles a car turning through a curve in a race track an electron moving perpendicular to a uniform magnetic field and a gear turning inside a mechanism since the objects velocity vector is constantly changing direction the moving object is undergoing acceleration by a centripetal force in the direction of the center of rotation without this acceleration the object would move in a straight line according to newtons laws of motion
2	D5	apollo creed is a fictional character from the rocky films initially portrayed as the undisputed heavyweight champion of the world he was played by carl weathers creed had multiple nicknames including the master of disaster the king of sting the dancing destroyer the prince of punch the one and only and the count of monte fisto urban legend states that apollo creeds name is a wordplay on the apostles creed a statement of belief used in christian churches all of apollos championship fights were scheduled for the 15 round distance championship fights did not convert from 15 rounds to 12 rounds until 1987 rocky balboa is often wrongly credited with popularizing the red white and blue trunks creed was the first man to wear them latterly worn by rocky balboa in the 3rd and 4th installments and finally by tommy the machine gunn tommy morrison in the 5th installment although normally he wore red and white as seen in rocky ii balboas signature colors were black and gold—colors he used in the latest movie
3	D6	in the united states the title of federal judge usually means a judge appointed by the president of the united states and confirmed by the united states senate pursuant to the appointments clause in article ii of the united states constitution in addition to the supreme court of the united states whose existence and some aspects of whose jurisdiction are beyond the constitutional power of congress to alter acts of congress have established 13 courts of appeals also called circuit courts with appellate jurisdiction over different regions of the united states and 94 united states district courts every judge appointed to such a court may be categorized as a federal judge such positions include the chief justice and associate justices of the supreme court circuit judges of the courts of appeals and district judges of the united states district courts all of these judges described thus far are referred to sometimes as article iii judges because they exercise the judicial power vested in the judicial branch of the federal government by article iii of the us constitution in addition judges of the court of international trade exercise judicial power pursuant to article iii other judges serving in the federal courts including magistrate judges and bankruptcy judges are also sometimes referred to as federal judges however they are neither appointed by the president nor confirmed by the senate and their power derives from article i instead see article i and article iii tribunals in the united states the title of federal judge usually means a judge appointed by the president of the united states and confirmed by the united states senate pursuant to the appointments clause in article ii of the united states constitution in addition to the supreme court of the united states whose existence and some aspects of whose jurisdiction are beyond the constitutional power of congress to alter acts of congress have established 13 courts of appeals also called circuit courts with appellate jurisdiction over different regions of the united states and 94 united states district courts every judge appointed to such a court may be categorized as a federal judge such positions include the chief justice and associate justices of the supreme court circuit judges of the courts of appeals and district judges of the united states district courts all of these judges described thus far are referred to sometimes as article iii judges because they exercise the judicial power vested in the judicial branch of the federal government by article iii of the us constitution in addition judges of the court of international trade exercise judicial power pursuant to article iii other judges serving in the federal courts including magistrate judges and bankruptcy judges are also sometimes referred to as federal judges however they are neither appointed by the president nor confirmed by the senate and their power derives from article i instead see article i and article iii tribunals
4	D7	the beretta 21a bobcat is a small pocketsized semiautomatic pistol designed by beretta in italy production began in late 1984 solely in the beretta usa facility in accokeek maryland it is a further development of the beretta model 20 whose production ended in 1985
5	D9	variable universal life insurance often shortened to vul is a type of life insurance that builds a cash value in a vul the cash value can be invested in a wide variety of separate accounts similar to mutual funds and the choice of which of the available separate accounts to use is entirely up to the contract owner the variable component in the name refers to this ability to invest in separate accounts whose values vary—they vary because they are invested in stock andor bond markets the universal component in the name refers to the flexibility the owner has in making premium payments the premiums can vary from nothing in a given month up to maximums defined by the internal revenue code for life insurance this flexibility is in contrast to whole life insurance that has fixed premium payments that typically cannot be missed without lapsing the policy although one may exercise an automatic premium loan feature or surrender dividends to pay a whole life premium variable universal life is a type of permanent life insurance because the death benefit will be paid if the insured dies any time as long as there is sufficient cash value to pay the costs of insurance in the policy with most if not all vuls unlike whole life there is no endowment age the age at which the cash value equals the death benefit amount which for whole life is typically 100 this is yet another key advantage of vul over whole life with a typical whole life policy the death benefit is limited to the face amount specified in the policy and at endowment age the face amount is all that is paid out thus with either death or endowment the insurance company keeps any cash value built up over the years however some participating whole life policies offer riders which specify that any dividends paid on the policy be used to purchase paid up additions to the policy which increase both the cash value and the death benefit over time if investments made in the separate accounts outperform the general account of the insurance company a higher rateofreturn can occur than the fixed ratesofreturn typical for whole life the combination over the years of no endowment age continually increasing death benefit and if a high rateofreturn is earned in the separate accounts of a vul policy this could result in higher value to the owner or beneficiary than that of a whole life policy with the same amounts of money paid in as premiums
6	D10	the outdoor wood boiler is a variant of the classic wood stove adapted for setup outdoors while still transferring the heat to interior buildings
7	D12	a mound of girl scout cookies this mound contains 74 boxes of cookies girl scout cookies are cookies sold by girl scouts of the usa gsusa as one of its major fundraisers for local scout units members of the gsusa have been selling cookies since 1917 to raise funds girls who participate can earn prizes for their efforts there are also unit incentives if the unit as a whole does well as of 2007 sales were estimated at about 200 million boxes per year
8	D13	university hall purdue university located in west lafayette indiana is the flagship university of the sixcampus purdue university system purdue was founded on may 6 1869 as a landgrant university when the indiana general assembly taking advantage of the morrill act accepted a donation of land and money from lafayette businessman john purdue to establish a college of science technology and agriculture in his name the first classes were held on september 16 1874 with six instructors and 39 students today purdue is a member of the big ten conference and is a well known worldclass research institution purdue enrolls the second largest student body of any university in indiana as well as the fourth largest international student population of any university in the united states purdue offers both undergraduate and graduate programs in over 211 major areas of study and is well known for its competitive engineering curricula the university has also been highly influential in americas history of aviation having established the first college credit offered in flight training the first fouryear bachelors degree in aviation and the first university airport purdue university airport purdues aviation technology program remains one of the most competitive aviationspecific programs in the world in the mid20th century purdues aviation program expanded to encompass advanced spaceflight technology giving rise to purdues nickname cradle of astronauts twentythree purdue graduates have gone on to become astronauts including gus grissom one of the original mercury seven astronauts neil armstrong the first person to walk on the moon and eugene cernan the most recent person to walk on the moon
9	D14	a sebaceous cyst is a term that loosely refers to either epidermoid cysts also known as epidermal cysts l720 or pilar cysts also known as trichilemmal cysts l721 because an epidermoid cyst originates in the epidermis and a pilar cyst originates from hair follicles by definition neither type of cyst is strictly a sebaceous cyst the name is regarded as a misnomer as the fatty white semisolid material in both of these cyst entities is not sebum but keratin furthermore under the microscope neither entity contains sebaceous glands in practice however the terms are often used interchangeably true sebaceous cysts are relatively rare and are known as steatocystomas or if multiple as steatocystoma multiplex
10	D15	modern pointe shoes the edge of the toe pad which is inserted between the foot and toe box for cushioning can be seen on the right foot a pointe shoe is a type of shoe worn by ballet dancers when performing pointe work pointe shoes developed from the desire for dancers to appear weightless and sylph like and have evolved to enable dancers to dance en pointe on the tips of their toes for extended periods of time they are normally worn by female dancers though male dancers may wear them for unorthodox roles such as the ugly stepsisters in cinderella bottom in a midsummer nights dream or men performing as women in dance companies such as les ballets trockadero and grandiva they are manufactured in a variety of colors most commonly in shades of light pink
11	D16	this tablespoon has a capacity of about 15 ml measuring spoons in the us and parts of canada a tablespoon is the largest type of spoon used for eating from a bowl in the uk europe and most commonwealth countries a tablespoon is a type of large spoon usually used for serving in countries where a tablespoon is a serving spoon the nearest equivalent to the us tablespoon is either the dessert spoon or the soup spoon a tablespoonful nominally the capacity of one tablespoon is commonly used as a measure of volume in cooking it is abbreviated as t tb tbs tbsp tblsp or tblspn the capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation in the usa one tablespoon measurement unit is approximately 15 ml the capacity of an actual tablespoon dining utensil ranges from 7 ml to 14 ml in australia one tablespoon measurement unit is 20 ml
12	D17	harry potter is a series of seven fantasy novels written by the british author j k rowling the books chronicle the adventures of a wizard harry potter and his friends ronald weasley and hermione granger all of whom are students at hogwarts school of witchcraft and wizardry the main story arc concerns harrys quest to overcome the dark wizard lord voldemort whose aims are to become immortal conquer the wizarding world subjugate nonmagical people and destroy all those who stand in his way especially harry potter since the release of the first novel harry potter and the philosophers stone on 30 june 1997 the books have gained immense popularity critical acclaim and commercial success worldwide the series has also had some share of criticism including concern for the increasingly dark tone the book series has sold about 450 million copies making it the bestselling book series in history and has been translated into 67 languages the last four books consecutively set records as the fastestselling books in history a series of many genres including fantasy and coming of age with elements of mystery thriller adventure and romance it has many cultural meanings and references according to rowling the main theme is death there are also many other themes in the series such as prejudice and corruption the initial major publishers of the books were bloomsbury in the united kingdom and scholastic press in the united states the books have since been published by many publishers worldwide the books with the seventh book split into two parts have been made into an eightpart film series by warner bros pictures the highestgrossing film series of all time the series also originated much tiein merchandise making the harry potter brand worth in excess of 15 billion also due to the success of the books and films harry potter has been used for a theme park the wizarding world of harry potter in universal parks resorts s islands of adventure
13	D18	rs68 being tested at nasas stennis space center the nearly transparent exhaust is due to this engines exhaust being mostly superheated steam water vapor from its propellants hydrogen and oxygen viking 5c rocket engine a rocket engine or simply rocket is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet rocket engines are reaction engines and obtain thrust in accordance with newtons third law since they need no external material to form their jet rocket engines can be used for spacecraft propulsion as well as terrestrial uses such as missiles most rocket engines are internal combustion engines although noncombusting forms also exist rocket engines as a group have the highest exhaust velocities are by far the lightest but are the least propellant efficient of all types of jet engines
14	D19	baby one more time is a song by american recording artist britney spears it served as spearss debut single and title track from her debut studio album baby one more time 1999 written by max martin and produced by martin and rami baby one more time was released on september 30 1998 by jive records after recording and sending a demo tape with an unused song from toni braxton spears signed a multialbum deal with jive baby one more time is a teen pop and dancepop song that refers to a girl who regrets breaking up with her boyfriend the song received generally favorable reviews from critics who praised its composition baby one more time attained global success reaching number one in every country it charted it also received numerous certifications around the world and is one of the bestselling singles of all time with over 10 million copies sold an accompanying music video directed by nigel dick portrays spears as a student from a catholic high school who starts to daydream that she is singing and dancing around the school while watching her love interest from afar the music video was later referenced in the music video of if u seek amy 2008 where spearss fictional daughter is dressed with a similar schoolgirl outfit while wearing pink ribbons in her hair in 2010 the music video for baby one more time was voted the third most influential video in the history of pop music in a poll held by jam spears has performed baby one more time in a number of live appearances and in all of her concert tours it was the encore of the baby one more time tour 1999 and dream within a dream tour 2001 spears also performed remixed versions of the song during the oops i did it again world tour 2000 the onyx hotel tour 2004 the mms tour 2007 the circus starring britney spears 2009 and the femme fatale tour 2011 baby one more time was nominated for a grammy award for best female pop vocal performance and has been included in lists by blender rolling stone and vh1 it has been noted for redefining the sound of late 1990s music spears has named baby one more time as one of her favorite songs from her career it was also the final song to be played on the bbc s music programme top of the pops
15	D21	cholera is an infection in the small intestine caused by the bacterium vibrio cholerae the main symptoms are watery diarrhea and vomiting transmission occurs primarily by drinking water or eating food that has been contaminated by the feces waste product of an infected person including one with no apparent symptoms the severity of the diarrhea and vomiting can lead to rapid dehydration and electrolyte imbalance and death in some cases the primary treatment is oral rehydration therapy typically with oral rehydration solution to replace water and electrolytes if this is not tolerated or does not provide improvement fast enough intravenous fluids can also be used antibacterial drugs are beneficial in those with severe disease to shorten its duration and severity worldwide it affects 3–5 million people and causes 100000–130000 deaths a year cholera was one of the earliest infections to be studied by epidemiological methods
16	D22	the picture of dorian gray is the only published novel by oscar wilde appearing as the lead story in lippincotts monthly magazine on 20 june 1890 printed as the july 1890 issue of this magazine the magazines editors feared the story was indecent as submitted so they censored roughly 500 words without wildes knowledge before publication but even with that the story was still greeted with outrage by british reviewers some of whom suggested that wilde should be prosecuted on moral grounds leading wilde to defend the novel aggressively in letters to the british press wilde later revised the story for book publication making substantial alterations deleting controversial passages adding new chapters and including an aphoristic preface which has since become famous in its own right the amended version was published by ward lock and company in april 1891 some scholars believe that wilde would today have wanted us to read the version he originally submitted to lippincotts the novel tells of a young man named dorian gray the subject of a painting by artist basil hallward basil is impressed by dorians beauty and becomes infatuated with him believing his beauty is responsible for a new mode in his art dorian meets lord henry wotton a friend of basils and becomes enthralled by lord henrys world view espousing a new hedonism lord henry suggests the only things worth pursuing in life are beauty and fulfilment of the senses realizing that one day his beauty will fade dorian whimsically expresses a desire to sell his soul to ensure the portrait basil has painted would age rather than he dorians wish is fulfilled and when he subsequently pursues a life of debauchery the portrait serves as a reminder of the effect each act has upon his soul with each sin displayed as a disfigurement of his form or through a sign of aging the picture of dorian gray is considered a work of classic gothic fiction with a strong faustian theme
17	D23	sári gábor born 6 february 1917 known as zsa zsa gabor is a hungarian born american actress who acted in supporting roles in movies on broadway and occasionally on television gabor was also a socialite she began her stage career in vienna at age 15 and was crowned miss hungary in 1936 she emigrated to the united states in 1941 and became a soughtafter actress with european flair and style with a personality that exuded charm and grace her first movie role was as supporting actress in lovely to look at she later acted in were not married and played one of her few leading roles in moulin rouge 1952 directed by john huston who described her as a creditable actress besides her film and television appearances she is best known for having nine husbands including hotel magnate conrad hilton and actor george sanders she once stated men have always liked me and i have always liked men but i like a mannish man a man who knows how to talk to and treat a woman – not just a man with muscles
18	D24	bruce lee traditional 李小龍 born lee junfan 27 november 1940 – 20 july 1973 was a chinese american martial artist actor martial arts instructor philosopher and filmmaker the founder of jeet kune do lee was the son of cantonese opera star lee hoichuen he is widely considered by commentators critics media and other martial artists to be one of the most influential martial artists of all time and a pop culture icon of the 20th century he is often credited with helping to change the way asians were presented in american films lee was born in chinatown san francisco on 27 november 1940 to parents from hong kong and was raised in kowloon with his family until his late teens he was introduced to the film industry by his father and appeared in several films as a child actor lee moved to the united states at the age of 18 to receive his higher education and it was during this time that he began teaching martial arts his hong kong and hollywood produced films elevated the traditional hong kong martial arts film to a new level of popularity and acclaim sparking a surge of interest in chinese martial arts in the west in the 1970s the direction and tone of his films changed and influenced martial arts and martial arts films in hong kong and the rest of the world he is noted for his roles in five featurelength films lo wei s the big boss 1971 and fist of fury 1972 way of the dragon 1972 directed and written by lee warner brothers enter the dragon 1973 and the game of death 1978 both directed by robert clouse lee became an iconic figure known throughout the world particularly among the chinese as he portrayed chinese nationalism in his films he initially trained in wing chun but later rejected welldefined martial art styles favouring instead the use of techniques from various sources in the spirit of his personal martial arts philosophy which he dubbed jeet kune do the way of the intercepting fist lee held dual citizenship of hong kong and the united states he died in kowloon tong on 20 july 1973 at age 32
19	D25	chronic obstructive pulmonary disease copd also known as chronic obstructive lung disease cold chronic obstructive airway disease coad chronic airflow limitation cal and chronic obstructive respiratory disease cord is the occurrence of chronic bronchitis or emphysema a pair of commonly coexisting diseases of the lungs in which the airways narrow over time this limits airflow to and from the lungs causing shortness of breath dyspnea in clinical practice copd is defined by its characteristically low airflow on lung function tests in contrast to asthma this limitation is poorly reversible and usually gets progressively worse over time copd is caused by noxious particles or gas most commonly from tobacco smoking which triggers an abnormal inflammatory response in the lung the diagnosis of copd requires lung function tests important management strategies are smoking cessation vaccinations rehabilitation and drug therapy often using inhalers some patients go on to require longterm oxygen therapy or lung transplantation worldwide copd ranked as the sixth leading cause of death in 1990 it is projected to become the fourth leading cause of death worldwide by 2030 due to an increase in smoking rates and demographic changes in many countries copd is the third leading cause of death in the us and the economic burden of copd in the us in 2007 was 426 billion in health care costs and lost productivity
20	D26	annelies anne marie frank 12 june 1929early march 1945 is one of the most discussed jewish victims of the holocaust her diary has been the basis for several plays and films born in the city of frankfurt am main in weimar germany she lived most of her life in or near amsterdam in the netherlands born a german national frank lost her citizenship in 1941 she gained international fame posthumously after her diary was published it documents her experiences hiding during the german occupation of the netherlands in world war ii the frank family moved from germany to amsterdam in 1933 the year the nazis gained control over germany by the beginning of 1940 they were trapped in amsterdam by the nazi occupation of the netherlands as persecutions of the jewish population increased in july 1942 the family went into hiding in the hidden rooms of annes father otto frank s office building after two years the group was betrayed and transported to concentration camps anne frank and her sister margot were eventually transferred to the bergenbelsen concentration camp where they died of typhus in march 1945 otto frank the only survivor of the family returned to amsterdam after the war to find that annes diary had been saved and his efforts led to its publication in 1947 it was translated from its original dutch and first published in english in 1952 as the diary of a young girl it has since been translated into many languages the diary which was given to anne on her 13th birthday chronicles her life from 12 june 1942 until 1 august 1944
21	D27	kurts signature kurt donald cobain february 20 1967 – april 5 1994 was an american musician and artist best known as the lead singer guitarist and primary songwriter of the grunge band nirvana cobain formed nirvana with krist novoselic in aberdeen washington in 1985 and established it as part of the seattle music scene having its debut album bleach released on the independent record label sub pop in 1989 after signing with major label dgc records the band found breakthrough success with smells like teen spirit from its second album nevermind 1991 following the success of nevermind nirvana was labeled the flagship band of generation x and cobain hailed as the spokesman of a generation cobain however was often uncomfortable and frustrated believing his message and artistic vision to have been misinterpreted by the public with his personal issues often subject to media attention he challenged nirvanas audience with its final studio album in utero 1993 during the last years of his life cobain struggled with heroin addiction illness and depression he also had difficulty coping with his fame and public image and the professional and lifelong personal pressures surrounding himself and his wife musician courtney love on april 8 1994 cobain was found dead at his home in seattle the victim of what was officially ruled a suicide by a selfinflicted shotgun wound to the head the circumstances of his death at age 27 have become a topic of public fascination and debate since their debut nirvana with cobain as a songwriter has sold over 25 million albums in the us and over 50 million worldwide kurts signature kurt donald cobain february 20 1967 – april 5 1994 was an american musician and artist best known as the lead singer guitarist and primary songwriter of the grunge band nirvana cobain formed nirvana with krist novoselic in aberdeen washington in 1985 and established it as part of the seattle music scene having its debut album bleach released on the independent record label sub pop in 1989 after signing with major label dgc records the band found breakthrough success with smells like teen spirit from its second album nevermind 1991 following the success of nevermind nirvana was labeled the flagship band of generation x and cobain hailed as the spokesman of a generation cobain however was often uncomfortable and frustrated believing his message and artistic vision to have been misinterpreted by the public with his personal issues often subject to media attention he challenged nirvanas audience with its final studio album in utero 1993 during the last years of his life cobain struggled with heroin addiction illness and depression he also had difficulty coping with his fame and public image and the professional and lifelong personal pressures surrounding himself and his wife musician courtney love on april 8 1994 cobain was found dead at his home in seattle the victim of what was officially ruled a suicide by a selfinflicted shotgun wound to the head the circumstances of his death at age 27 have become a topic of public fascination and debate since their debut nirvana with cobain as a songwriter has sold over 25 million albums in the us and over 50 million worldwide
22	D28	radial engine timing and cam mechanism click for full resolution animation radial engine of a biplane master rod upright slaves and balances from a tworow fourteencylinder pratt whitney twin wasp the radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel it resembles a stylized star when viewed from the front and is called a star engine german sternmotor in some languages the radial configuration was very commonly used in aircraft engines before turbine engines became predominant
23	D29	the golden girls is an american sitcom created by susan harris that originally aired on nbc from september 13 1985 to may 9 1992 starring bea arthur betty white rue mcclanahan and estelle getty the show centers on four older women sharing a home in miami florida it was produced by wittthomasharris productions in association with touchstone television and paul junger witt tony thomas and harris served as the original executive producers the golden girls received critical acclaim throughout most of its run and won several awards including the primetime emmy award for outstanding comedy series twice it also won three golden globe awards for best television series – musical or comedy all four stars each received an emmy award throughout the series run and had multiple nominations the series also ranked among the top ten highestrated programs for six out of its seven seasons
